,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay,delay_days,checkin_late,checkin_late_hours,checkin_late_minutes,checkin_time
90,535770,352436,mobile,ended,74.0,524703.0,60.0,1.0,14.0,late,0.0,14.0,0.0,14.0,late
107,537576,397470,mobile,ended,18.0,539005.0,0.0,0.0,18.0,late,0.0,18.0,0.0,18.0,late
148,540479,374684,mobile,ended,12.0,539751.0,0.0,0.0,12.0,late,0.0,12.0,0.0,12.0,late
164,541862,382364,mobile,ended,125.0,540607.0,0.0,2.0,5.0,late,0.0,125.0,2.0,5.0,late
206,543808,369230,mobile,ended,75.0,536315.0,60.0,1.0,15.0,late,0.0,15.0,0.0,15.0,late
265,547188,231676,mobile,ended,266.0,535868.0,30.0,4.0,26.0,late,0.0,236.0,3.0,56.0,late
284,548912,411521,mobile,ended,225.0,553683.0,60.0,3.0,45.0,late,0.0,165.0,2.0,45.0,late
342,552330,384657,connect,ended,23.0,554800.0,0.0,0.0,23.0,late,0.0,23.0,0.0,23.0,late
438,559781,408776,mobile,ended,44.0,540868.0,0.0,0.0,44.0,late,0.0,44.0,0.0,44.0,late
622,567636,376840,connect,ended,101.0,564959.0,0.0,1.0,41.0,late,0.0,101.0,1.0,41.0,late
697,529128,382700,mobile,ended,6.0,506728.0,0.0,0.0,6.0,late,0.0,6.0,0.0,6.0,late
735,574568,301512,mobile,ended,110.0,572909.0,0.0,1.0,50.0,late,0.0,110.0,1.0,50.0,late
1114,539618,297119,mobile,ended,101.0,538807.0,30.0,1.0,41.0,late,0.0,71.0,1.0,11.0,late
1221,539760,216148,connect,ended,194.0,537416.0,0.0,3.0,14.0,late,0.0,194.0,3.0,14.0,late
1230,540108,392813,mobile,ended,840.0,540368.0,120.0,14.0,0.0,late,0.0,720.0,12.0,0.0,late
1273,543108,376574,mobile,ended,23.0,514474.0,0.0,0.0,23.0,late,0.0,23.0,0.0,23.0,late
1345,540885,294883,mobile,ended,18.0,542526.0,0.0,0.0,18.0,late,0.0,18.0,0.0,18.0,late
1346,540892,402677,mobile,ended,205.0,540131.0,60.0,3.0,25.0,late,0.0,145.0,2.0,25.0,late
1356,541756,229646,mobile,ended,205.0,528516.0,60.0,3.0,25.0,late,0.0,145.0,2.0,25.0,late
1386,543359,380813,mobile,ended,594.0,537074.0,0.0,9.0,54.0,late,0.0,594.0,9.0,54.0,late
1513,535030,407334,mobile,ended,69.0,537148.0,60.0,1.0,9.0,late,0.0,9.0,0.0,9.0,late
1543,538330,379984,mobile,ended,31.0,532790.0,0.0,0.0,31.0,late,0.0,31.0,0.0,31.0,late
1761,547655,375834,mobile,ended,89.0,548169.0,0.0,1.0,29.0,late,0.0,89.0,1.0,29.0,late
1775,548864,396250,mobile,ended,527.0,550060.0,120.0,8.0,47.0,late,0.0,407.0,6.0,47.0,late
1835,540784,310576,connect,ended,54.0,536453.0,0.0,0.0,54.0,late,0.0,54.0,0.0,54.0,late
1970,551707,404424,mobile,ended,105.0,550671.0,0.0,1.0,45.0,late,0.0,105.0,1.0,45.0,late
2086,552049,404192,mobile,ended,1392.0,551936.0,150.0,23.0,12.0,late,0.0,1242.0,20.0,42.0,late
2087,552230,338940,mobile,ended,233.0,513740.0,30.0,3.0,53.0,late,0.0,203.0,3.0,23.0,late
2139,555821,326578,mobile,ended,1143.0,558583.0,0.0,19.0,3.0,late,0.0,1143.0,19.0,3.0,late
2374,542781,309723,mobile,ended,297.0,541286.0,30.0,4.0,57.0,late,0.0,267.0,4.0,27.0,late
2663,539385,355817,mobile,ended,111.0,535816.0,0.0,1.0,51.0,late,0.0,111.0,1.0,51.0,late
2681,540372,385721,connect,ended,48.0,516961.0,0.0,0.0,48.0,late,0.0,48.0,0.0,48.0,late
2864,566508,307439,mobile,ended,319.0,559522.0,90.0,5.0,19.0,late,0.0,229.0,3.0,49.0,late
2875,567517,358103,mobile,ended,5.0,561286.0,0.0,0.0,5.0,late,0.0,5.0,0.0,5.0,late
2890,568976,375834,mobile,ended,91.0,566493.0,60.0,1.0,31.0,late,0.0,31.0,0.0,31.0,late
2997,565759,409863,mobile,ended,266.0,564788.0,30.0,4.0,26.0,late,0.0,236.0,3.0,56.0,late
3120,531952,338940,mobile,ended,320.0,542671.0,0.0,5.0,20.0,late,0.0,320.0,5.0,20.0,late
