,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay
2,508131,359049,connect,ended,70.0,,,1.0,10.0,late
6,511639,370585,connect,ended,-15.0,563782.0,570.0,-1.0,45.0,early
9,513434,256528,connect,ended,23.0,,,0.0,23.0,late
15,518282,364160,connect,ended,-81.0,,,-2.0,39.0,early
20,519795,383720,connect,ended,-159.0,,,-3.0,21.0,early
37,527377,306450,connect,ended,52.0,,,0.0,52.0,late
39,527627,402562,connect,ended,-1.0,,,-1.0,59.0,early
40,528808,181625,connect,ended,-76.0,557404.0,330.0,-2.0,44.0,early
55,532245,361468,connect,ended,-63.0,,,-2.0,57.0,early
61,533380,314456,connect,ended,-167.0,,,-3.0,13.0,early
64,533670,320824,connect,ended,-6.0,556563.0,630.0,-1.0,54.0,early
73,534820,373893,connect,ended,-576.0,,,-10.0,24.0,early
76,534926,390702,connect,ended,-178.0,,,-3.0,2.0,early
77,534943,358567,connect,ended,37.0,,,0.0,37.0,late
83,535331,402083,connect,ended,-108.0,,,-2.0,12.0,early
88,535726,375944,connect,ended,38.0,,,0.0,38.0,late
95,536444,389785,connect,ended,-130.0,,,-3.0,50.0,early
117,538194,380708,connect,ended,2.0,,,0.0,2.0,late
124,538678,351549,connect,ended,-348.0,,,-6.0,12.0,early
131,539369,390467,connect,ended,41.0,,,0.0,41.0,late
133,539451,355444,connect,ended,-536.0,,,-9.0,4.0,early
152,540649,352528,connect,ended,90.0,,,1.0,30.0,late
183,542942,358082,connect,ended,-106.0,,,-2.0,14.0,early
194,543321,371572,connect,ended,48.0,,,0.0,48.0,late
195,543328,358772,connect,ended,-9.0,552619.0,240.0,-1.0,51.0,early
197,543443,356551,connect,ended,-529.0,,,-9.0,11.0,early
201,543679,225795,connect,ended,64.0,540663.0,540.0,1.0,4.0,late
210,544164,301301,connect,ended,-244.0,,,-5.0,56.0,early
211,544167,306607,connect,ended,337.0,,,5.0,37.0,late
212,544197,387939,connect,ended,39.0,,,0.0,39.0,late
219,544777,387810,connect,ended,50.0,,,0.0,50.0,late
223,545064,194343,connect,ended,74.0,,,1.0,14.0,late
228,545272,370585,connect,ended,-98.0,,,-2.0,22.0,early
233,545438,393172,connect,ended,-467.0,,,-8.0,13.0,early
251,546745,342645,connect,ended,-55.0,,,-1.0,5.0,early
254,546888,295783,connect,ended,84.0,,,1.0,24.0,late
255,546935,348526,connect,ended,85.0,,,1.0,25.0,late
258,546991,377219,connect,ended,423.0,,,7.0,3.0,late
262,547122,385574,connect,ended,-5.0,,,-1.0,55.0,early
264,547177,214635,connect,ended,-548.0,,,-10.0,52.0,early
267,547223,188944,connect,ended,8.0,,,0.0,8.0,late
274,548279,317330,connect,ended,-692.0,,,-12.0,28.0,early
290,549273,175887,connect,ended,-26.0,,,-1.0,34.0,early
291,549290,364907,connect,ended,-49.0,,,-1.0,11.0,early
293,549345,369881,connect,ended,22.0,,,0.0,22.0,late
299,549674,390702,connect,ended,-127.0,,,-3.0,53.0,early
301,549808,310219,connect,ended,54.0,,,0.0,54.0,late
309,550224,358567,connect,ended,-7.0,,,-1.0,53.0,early
313,550537,239798,connect,ended,37.0,,,0.0,37.0,late
316,550808,346652,connect,ended,-41.0,,,-1.0,19.0,early
317,550929,310681,connect,ended,-25.0,,,-1.0,35.0,early
321,551069,359880,connect,ended,-22.0,549192.0,180.0,-1.0,38.0,early
324,551137,295783,connect,ended,16.0,,,0.0,16.0,late
329,551364,406062,connect,ended,34.0,,,0.0,34.0,late
339,552233,245154,connect,ended,4.0,,,0.0,4.0,late
342,552330,384657,connect,ended,23.0,554800.0,0.0,0.0,23.0,late
345,552425,385625,connect,ended,-102.0,550476.0,30.0,-2.0,18.0,early
347,552524,173061,connect,ended,-22.0,,,-1.0,38.0,early
352,552850,315136,connect,ended,40.0,,,0.0,40.0,late
361,553532,355444,connect,ended,-20.0,,,-1.0,40.0,early
364,553730,390976,connect,ended,-29.0,,,-1.0,31.0,early
366,553795,402528,connect,ended,11.0,,,0.0,11.0,late
371,554508,241021,connect,ended,-37.0,,,-1.0,23.0,early
380,555600,391519,connect,ended,-95.0,,,-2.0,25.0,early
388,556079,374298,connect,ended,-1019.0,,,-17.0,1.0,early
417,558088,245154,connect,ended,-40.0,566170.0,180.0,-1.0,20.0,early
418,558250,375126,connect,ended,-4.0,549813.0,600.0,-1.0,56.0,early
422,558525,297962,connect,ended,-256.0,555341.0,30.0,-5.0,44.0,early
427,558759,368753,connect,ended,-126.0,,,-3.0,54.0,early
429,559078,340616,connect,ended,27.0,,,0.0,27.0,late
435,559428,289720,connect,ended,-16.0,520878.0,90.0,-1.0,44.0,early
448,560889,412672,connect,ended,,,,,,on time
456,561368,249274,connect,ended,-3.0,558711.0,30.0,-1.0,57.0,early
457,561383,411754,connect,ended,173.0,,,2.0,53.0,late
458,561408,310444,connect,ended,-54.0,545475.0,360.0,-1.0,6.0,early
459,561450,192179,connect,ended,7.0,541144.0,540.0,0.0,7.0,late
471,562174,381499,connect,ended,73.0,,,1.0,13.0,late
475,562291,404133,connect,ended,-709.0,,,-12.0,11.0,early
486,563157,371572,connect,ended,-83.0,,,-2.0,37.0,early
487,563509,349894,connect,ended,-432.0,,,-8.0,48.0,early
489,563552,241021,connect,ended,25.0,567278.0,60.0,0.0,25.0,late
491,563933,347208,connect,ended,27.0,,,0.0,27.0,late
512,564844,297962,connect,ended,-167.0,,,-3.0,13.0,early
523,505091,213807,connect,ended,-155.0,,,-3.0,25.0,early
526,506321,393781,connect,ended,-1.0,,,-1.0,59.0,early
541,516585,389785,connect,ended,162.0,,,2.0,42.0,late
546,519451,251815,connect,ended,-76.0,,,-2.0,44.0,early
550,520750,337219,connect,ended,-154.0,,,-3.0,26.0,early
558,525175,280805,connect,ended,9.0,,,0.0,9.0,late
583,532695,320824,connect,ended,0.0,,,0.0,0.0,on time
588,565543,364882,connect,ended,82.0,,,1.0,22.0,late
600,566385,211860,connect,ended,58.0,,,0.0,58.0,late
602,566661,390467,connect,ended,-651.0,569297.0,570.0,-11.0,9.0,early
605,566709,313772,connect,ended,-73.0,,,-2.0,47.0,early
608,566908,164960,connect,ended,-44.0,,,-1.0,16.0,early
613,567278,241021,connect,ended,-425.0,563925.0,240.0,-8.0,55.0,early
616,567423,402980,connect,ended,-125.0,,,-3.0,55.0,early
619,567442,410939,connect,ended,-353.0,,,-6.0,7.0,early
622,567636,376840,connect,ended,101.0,564959.0,0.0,1.0,41.0,late
624,567654,358772,connect,ended,-90.0,,,-2.0,30.0,early
641,569081,291932,connect,ended,-19.0,,,-1.0,41.0,early
644,569498,402528,connect,ended,-173.0,562527.0,630.0,-3.0,7.0,early
647,570350,365926,connect,ended,-55.0,570337.0,60.0,-1.0,5.0,early
651,570819,353425,connect,ended,-17.0,573393.0,120.0,-1.0,43.0,early
652,571139,347208,connect,ended,-90.0,,,-2.0,30.0,early
675,520615,265239,connect,ended,-22.0,,,-1.0,38.0,early
678,522507,390927,connect,ended,183.0,523328.0,510.0,3.0,3.0,late
679,522667,214635,connect,ended,119.0,,,1.0,59.0,late
685,526089,369713,connect,ended,-73.0,,,-2.0,47.0,early
694,527981,358978,connect,ended,-60.0,541898.0,210.0,-1.0,0.0,early
698,529233,399528,connect,ended,-53.0,529252.0,480.0,-1.0,7.0,early
699,529252,399528,connect,ended,-104.0,,,-2.0,16.0,early
704,530261,280805,connect,ended,28.0,,,0.0,28.0,late
709,531511,296967,connect,ended,-11.0,,,-1.0,49.0,early
711,532257,289901,connect,ended,-157.0,,,-3.0,23.0,early
716,532787,226544,connect,ended,203.0,,,3.0,23.0,late
727,572844,342154,connect,ended,26.0,,,0.0,26.0,late
731,573315,398586,connect,ended,26.0,,,0.0,26.0,late
733,574171,381499,connect,ended,-174.0,,,-3.0,6.0,early
737,505377,290726,connect,ended,62.0,,,1.0,2.0,late
740,505628,194343,connect,ended,-60.0,,,-1.0,0.0,early
754,513317,358772,connect,ended,-8.0,,,-1.0,52.0,early
759,515229,304392,connect,ended,-24.0,,,-1.0,36.0,early
782,519135,383344,connect,ended,69.0,,,1.0,9.0,late
783,519321,353459,connect,ended,3.0,,,0.0,3.0,late
785,519682,296967,connect,ended,-223.0,,,-4.0,17.0,early
786,519728,310636,connect,ended,-87.0,,,-2.0,33.0,early
789,520613,346755,connect,ended,-120.0,,,-2.0,0.0,early
791,521865,401475,connect,ended,113.0,514932.0,540.0,1.0,53.0,late
808,528855,280227,connect,ended,,,,,,on time
817,531394,320834,connect,ended,7.0,,,0.0,7.0,late
