,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_hours,delay_minutes,delay
1,507750,269550,mobile,ended,-81.0,,,-2.0,39.0,early
2,508131,359049,connect,ended,70.0,,,1.0,10.0,late
4,511440,313932,mobile,ended,,,,,,on time
5,511626,398802,mobile,ended,-203.0,,,-4.0,37.0,early
6,511639,370585,connect,ended,-15.0,563782.0,570.0,-1.0,45.0,early
7,512303,371242,mobile,ended,-44.0,,,-1.0,16.0,early
9,513434,256528,connect,ended,23.0,,,0.0,23.0,late
12,514257,402596,mobile,ended,214.0,,,3.0,34.0,late
13,515147,257466,mobile,ended,15.0,,,0.0,15.0,late
15,518282,364160,connect,ended,-81.0,,,-2.0,39.0,early
16,518366,397217,mobile,ended,-156.0,,,-3.0,24.0,early
17,518895,398816,mobile,ended,66.0,,,1.0,6.0,late
18,518938,382243,mobile,ended,215.0,,,3.0,35.0,late
19,519491,312389,mobile,ended,58.0,545639.0,420.0,0.0,58.0,late
20,519795,383720,connect,ended,-159.0,,,-3.0,21.0,early
21,520095,404496,mobile,ended,-16.0,,,-1.0,44.0,early
23,521156,392479,mobile,ended,,537298.0,0.0,,,on time
24,521191,224745,mobile,ended,1452.0,,,24.0,12.0,late
25,521352,403184,mobile,ended,-29.0,,,-1.0,31.0,early
27,521734,190995,mobile,ended,-251.0,,,-5.0,49.0,early
28,522602,391287,mobile,ended,35.0,,,0.0,35.0,late
29,522717,335353,mobile,ended,,,,,,on time
30,523800,352799,mobile,ended,-345.0,,,-6.0,15.0,early
33,524806,337859,mobile,ended,-26.0,,,-1.0,34.0,early
34,525044,349751,mobile,ended,,510607.0,60.0,,,on time
35,525817,351617,mobile,ended,22.0,,,0.0,22.0,late
36,526798,356877,mobile,ended,-15.0,,,-1.0,45.0,early
37,527377,306450,connect,ended,52.0,,,0.0,52.0,late
38,527569,314220,mobile,ended,-2.0,,,-1.0,58.0,early
39,527627,402562,connect,ended,-1.0,,,-1.0,59.0,early
40,528808,181625,connect,ended,-76.0,557404.0,330.0,-2.0,44.0,early
43,529193,374877,mobile,ended,15.0,,,0.0,15.0,late
45,529347,391792,mobile,ended,,,,,,on time
46,529458,331480,mobile,ended,,,,,,on time
47,529852,363433,mobile,ended,-68.0,,,-2.0,52.0,early
48,530646,259092,mobile,ended,-340.0,,,-6.0,20.0,early
49,530700,221171,mobile,ended,130.0,,,2.0,10.0,late
50,531158,404169,mobile,ended,29.0,,,0.0,29.0,late
51,531507,355554,mobile,ended,-4.0,,,-1.0,56.0,early
52,531526,404562,mobile,ended,-160.0,,,-3.0,20.0,early
53,531955,317639,mobile,ended,-30.0,,,-1.0,30.0,early
54,531961,234356,mobile,ended,-47.0,,,-1.0,13.0,early
55,532245,361468,connect,ended,-63.0,,,-2.0,57.0,early
56,532416,275810,mobile,ended,-148.0,,,-3.0,32.0,early
57,532495,378257,mobile,ended,44.0,,,0.0,44.0,late
58,532802,373061,mobile,ended,-98.0,,,-2.0,22.0,early
59,533294,364052,mobile,ended,-33.0,,,-1.0,27.0,early
60,533303,336902,mobile,ended,-340.0,,,-6.0,20.0,early
61,533380,314456,connect,ended,-167.0,,,-3.0,13.0,early
62,533442,389958,mobile,ended,31.0,,,0.0,31.0,late
64,533670,320824,connect,ended,-6.0,556563.0,630.0,-1.0,54.0,early
65,533683,271380,mobile,ended,79.0,,,1.0,19.0,late
66,533696,408511,mobile,ended,,,,,,on time
67,533790,394562,mobile,ended,30.0,,,0.0,30.0,late
70,534611,392176,mobile,ended,33.0,,,0.0,33.0,late
71,534654,303652,mobile,ended,-52.0,,,-1.0,8.0,early
72,534789,395243,mobile,ended,44.0,,,0.0,44.0,late
73,534820,373893,connect,ended,-576.0,,,-10.0,24.0,early
74,534827,404169,mobile,ended,-7.0,531158.0,90.0,-1.0,53.0,early
76,534926,390702,connect,ended,-178.0,,,-3.0,2.0,early
77,534943,358567,connect,ended,37.0,,,0.0,37.0,late
78,534956,344594,mobile,ended,24.0,,,0.0,24.0,late
79,535071,358480,mobile,ended,40.0,,,0.0,40.0,late
80,535116,380364,mobile,ended,137.0,,,2.0,17.0,late
81,535139,384575,mobile,ended,249.0,,,4.0,9.0,late
82,535313,396552,mobile,ended,23.0,,,0.0,23.0,late
83,535331,402083,connect,ended,-108.0,,,-2.0,12.0,early
84,535399,362659,mobile,ended,-6.0,,,-1.0,54.0,early
85,535514,348178,mobile,ended,-150.0,,,-3.0,30.0,early
86,535601,376381,mobile,ended,9.0,,,0.0,9.0,late
87,535611,397814,mobile,ended,68.0,535512.0,300.0,1.0,8.0,late
88,535726,375944,connect,ended,38.0,,,0.0,38.0,late
89,535738,398733,mobile,ended,-1.0,,,-1.0,59.0,early
90,535770,352436,mobile,ended,74.0,524703.0,60.0,1.0,14.0,late
91,535821,381583,mobile,ended,-10.0,,,-1.0,50.0,early
92,536108,337311,mobile,ended,-843.0,,,-15.0,57.0,early
94,536343,369230,mobile,ended,780.0,,,13.0,0.0,late
95,536444,389785,connect,ended,-130.0,,,-3.0,50.0,early
97,536978,378931,mobile,ended,271.0,,,4.0,31.0,late
98,536990,193354,mobile,ended,-12.0,,,-1.0,48.0,early
99,537040,267735,mobile,ended,933.0,,,15.0,33.0,late
102,537082,359641,mobile,ended,1967.0,,,32.0,47.0,late
103,537277,342067,mobile,ended,-125.0,,,-3.0,55.0,early
104,537352,349280,mobile,ended,-96.0,,,-2.0,24.0,early
105,537381,338052,mobile,ended,205.0,,,3.0,25.0,late
107,537576,397470,mobile,ended,18.0,539005.0,0.0,0.0,18.0,late
108,537627,390736,mobile,ended,48.0,,,0.0,48.0,late
109,537677,389994,mobile,ended,266.0,,,4.0,26.0,late
110,537705,404731,mobile,ended,36.0,,,0.0,36.0,late
112,537822,396544,mobile,ended,-35.0,,,-1.0,25.0,early
113,537923,313085,mobile,ended,80.0,,,1.0,20.0,late
114,538012,192803,mobile,ended,3233.0,,,53.0,53.0,late
115,538105,243218,mobile,ended,-24.0,,,-1.0,36.0,early
116,538184,347242,mobile,ended,-129.0,,,-3.0,51.0,early
117,538194,380708,connect,ended,2.0,,,0.0,2.0,late
118,538251,401964,mobile,ended,-37.0,,,-1.0,23.0,early
119,538328,409359,mobile,ended,8.0,,,0.0,8.0,late
120,538437,408937,mobile,ended,-155.0,,,-3.0,25.0,early
121,538501,396281,mobile,ended,134.0,,,2.0,14.0,late
122,538569,406984,mobile,ended,-15.0,,,-1.0,45.0,early
123,538660,297511,mobile,ended,13.0,,,0.0,13.0,late
124,538678,351549,connect,ended,-348.0,,,-6.0,12.0,early
125,538852,311437,mobile,ended,-120.0,,,-2.0,0.0,early
126,538882,369219,mobile,ended,85.0,,,1.0,25.0,late
127,539071,388231,mobile,ended,-35.0,,,-1.0,25.0,early
128,539196,347612,mobile,ended,66.0,,,1.0,6.0,late
129,539241,394966,mobile,ended,,,,,,on time
130,539262,359046,mobile,ended,32.0,,,0.0,32.0,late
131,539369,390467,connect,ended,41.0,,,0.0,41.0,late
132,539396,388032,mobile,ended,3.0,,,0.0,3.0,late
133,539451,355444,connect,ended,-536.0,,,-9.0,4.0,early
135,539688,369483,mobile,ended,216.0,,,3.0,36.0,late
136,539711,320531,mobile,ended,,,,,,on time
137,539865,277766,mobile,ended,28.0,,,0.0,28.0,late
138,539923,247971,mobile,ended,-51.0,,,-1.0,9.0,early
139,539995,258837,mobile,ended,93.0,,,1.0,33.0,late
140,540018,245480,mobile,ended,-196.0,,,-4.0,44.0,early
141,540190,365531,mobile,ended,9.0,,,0.0,9.0,late
142,540217,398802,mobile,ended,-988.0,543426.0,720.0,-17.0,32.0,early
143,540298,202057,mobile,ended,-6.0,,,-1.0,54.0,early
144,540330,362860,mobile,ended,-18.0,,,-1.0,42.0,early
145,540360,404476,mobile,ended,,,,,,on time
146,540369,341086,mobile,ended,-62.0,,,-2.0,58.0,early
147,540434,402505,mobile,ended,210.0,,,3.0,30.0,late
148,540479,374684,mobile,ended,12.0,539751.0,0.0,0.0,12.0,late
149,540553,303506,mobile,ended,-24.0,,,-1.0,36.0,early
150,540633,396732,mobile,ended,-5.0,,,-1.0,55.0,early
152,540649,352528,connect,ended,90.0,,,1.0,30.0,late
153,540733,393558,mobile,ended,15422.0,,,257.0,2.0,late
154,540735,314897,mobile,ended,-14.0,,,-1.0,46.0,early
155,540966,405906,mobile,ended,11.0,,,0.0,11.0,late
156,541014,321607,mobile,ended,-7.0,,,-1.0,53.0,early
157,541060,280562,mobile,ended,146.0,,,2.0,26.0,late
158,541174,284552,mobile,ended,-25.0,,,-1.0,35.0,early
159,541334,372670,mobile,ended,,,,,,on time
160,541372,387559,mobile,ended,13.0,,,0.0,13.0,late
161,541444,397413,mobile,ended,901.0,,,15.0,1.0,late
163,541784,408830,mobile,ended,52.0,,,0.0,52.0,late
164,541862,382364,mobile,ended,125.0,540607.0,0.0,2.0,5.0,late
165,541884,398604,mobile,ended,,,,,,on time
166,541948,321674,mobile,ended,165.0,,,2.0,45.0,late
167,541991,329496,mobile,ended,-25.0,,,-1.0,35.0,early
168,542033,164574,mobile,ended,,,,,,on time
169,542106,392656,mobile,ended,,,,,,on time
170,542149,371368,mobile,ended,83.0,,,1.0,23.0,late
171,542203,388268,mobile,ended,69.0,,,1.0,9.0,late
